IP位址,玩家ID,玩家身份,地區,登入次數
10.8.39.28,6667696128,2,TWN,108
10.8.39.22,4445544518,2,TWN,96
10.8.39.22,4445503370,2,TWN,95
10.8.39.23,4413262155,1,USA,94
10.8.142.27,3334417278,1,TWN,65
10.8.39.22,8889970039,2,TWN,54
10.8.142.40,0001092708,1,TWN,42
10.8.39.22,5556653470,2,TWN,32
10.8.39.22,3334414992,2,TWN,24
10.8.40.34,7778867945,2,TWN,23
10.8.39.20,7778718212,1,TWN,23
10.8.39.23,7778805080,1,TWN,22
10.8.142.28,8431626634,1,USA,14
10.8.40.34,7778856515,2,TWN,11
10.8.142.63,7778797079,2,TWN,11
10.8.142.28,3334298406,1,TWN,10
10.8.39.22,0001058418,2,TWN,10
10.8.39.23,0001070991,2,TWN,8
10.8.39.23,6667757850,2,TWN,6
10.8.39.22,2223312898,2,TWN,6
10.8.40.34,1112177657,2,TWN,6
10.8.142.52,0000962406,1,TWN,6
10.8.142.27,6667753278,1,TWN,4
10.8.39.23,6667726989,2,TWN,4
10.8.142.27,8889964324,1,TWN,3
10.8.142.27,6667739562,1,TWN,3
10.8.40.30,8889966610,2,TWN,2
10.8.40.30,7778869088,2,TWN,2
10.8.40.31,7778797079,2,TWN,2
10.8.40.31,5556471733,1,TWN,2
10.8.39.22,5251055421,1,USA,2
10.8.39.23,3981356123,1,USA,2
10.8.39.20,1112170799,2,TWN,2
10.8.39.20,8889812305,1,USA,1
10.8.39.22,5274910379,1,USA,1
10.8.38.28,5251055421,1,USA,1
10.8.142.28,3334426422,2,TWN,1
10.8.39.23,2223318613,2,TWN,1
